"time","power"
2024-01-08 07:21:47,0
2024-01-08 07:21:53,13
2024-01-08 07:21:58,13
2024-01-08 07:22:03,11
2024-01-08 07:22:08,12
2024-01-08 07:22:24,11
2024-01-08 07:22:29,10
2024-01-08 07:22:35,11
2024-01-08 07:22:40,10
2024-01-08 07:22:45,11
2024-01-08 07:22:50,10
2024-01-08 07:23:01,11
2024-01-08 07:23:06,12
2024-01-08 07:23:12,11
2024-01-08 07:23:22,10
2024-01-08 07:23:27,12
2024-01-08 07:23:43,11
2024-01-08 07:23:49,10
2024-01-08 07:23:54,12
2024-01-08 07:23:59,11
2024-01-08 07:24:20,10
2024-01-08 07:24:26,11
2024-01-08 07:24:31,12
2024-01-08 07:24:41,11
2024-01-08 07:24:52,10
2024-01-08 07:24:57,11
2024-01-08 07:25:03,12
2024-01-08 07:25:13,11
2024-01-08 07:25:29,14
2024-01-08 07:25:35,43
2024-01-08 07:25:40,42
2024-01-08 07:25:56,41
2024-01-08 07:26:06,43
2024-01-08 07:26:11,42
2024-01-08 07:26:17,43
2024-01-08 07:26:22,42
2024-01-08 07:26:27,43
2024-01-08 07:26:32,42
2024-01-08 07:26:43,43
2024-01-08 07:26:49,42
2024-01-08 07:26:54,41
2024-01-08 07:27:04,42
2024-01-08 07:27:09,43
2024-01-08 07:27:20,41
2024-01-08 07:27:31,42
2024-01-08 07:27:46,43
2024-01-08 07:27:57,41
2024-01-08 07:28:03,42
2024-01-08 07:28:13,41
2024-01-08 07:28:23,42
2024-01-08 07:28:39,41
2024-01-08 07:29:00,42
2024-01-08 07:29:17,43
2024-01-08 07:29:27,41
2024-01-08 07:29:48,43
2024-01-08 07:29:59,41
2024-01-08 07:30:04,42
2024-01-08 07:30:09,41
2024-01-08 07:30:25,42
2024-01-08 07:30:31,47
2024-01-08 07:30:36,104
2024-01-08 07:30:41,105
2024-01-08 07:30:46,105
2024-01-08 07:30:51,105
2024-01-08 07:31:13,104
2024-01-08 07:31:18,105
2024-01-08 07:31:28,104
2024-01-08 07:31:39,105
2024-01-08 07:31:50,103
2024-01-08 07:31:55,105
2024-01-08 07:32:00,103
2024-01-08 07:32:05,105
2024-01-08 07:32:21,104
2024-01-08 07:32:27,105
2024-01-08 07:32:42,106
2024-01-08 07:32:53,105
2024-01-08 07:32:59,104
2024-01-08 07:33:04,103
2024-01-08 07:33:09,104
2024-01-08 07:33:14,105
2024-01-08 07:33:20,103
2024-01-08 07:33:30,104
2024-01-08 07:33:35,105
2024-01-08 07:33:51,105
2024-01-08 07:33:56,104
2024-01-08 07:34:07,105
2024-01-08 07:34:23,104
2024-01-08 07:34:28,104
2024-01-08 07:34:34,104
2024-01-08 07:34:49,105
2024-01-08 07:34:55,105
2024-01-08 07:35:00,104
2024-01-08 07:35:05,105
2024-01-08 07:35:27,104
2024-01-08 07:35:42,105
2024-01-08 07:36:09,104
2024-01-08 07:36:14,234
2024-01-08 07:36:19,206
2024-01-08 07:36:24,208
2024-01-08 07:36:35,209
2024-01-08 07:36:51,210
2024-01-08 07:36:56,209
2024-01-08 07:37:02,208
2024-01-08 07:37:12,209
2024-01-08 07:37:17,210
2024-01-08 07:37:23,207
2024-01-08 07:37:28,209
2024-01-08 07:37:38,206
2024-01-08 07:37:49,208
2024-01-08 07:37:55,209
2024-01-08 07:38:00,208
2024-01-08 07:38:05,209
2024-01-08 07:38:16,210
2024-01-08 07:38:26,208
2024-01-08 07:38:42,209
2024-01-08 07:38:52,209
2024-01-08 07:39:03,210
2024-01-08 07:39:09,209
2024-01-08 07:39:14,210
2024-01-08 07:39:19,209
2024-01-08 07:39:30,207
2024-01-08 07:39:40,208
2024-01-08 07:39:46,209
2024-01-08 07:40:01,208
2024-01-08 07:40:06,209
2024-01-08 07:40:17,207
2024-01-08 07:40:23,210
2024-01-08 07:40:28,209
2024-01-08 07:40:33,209
2024-01-08 07:40:44,374
2024-01-08 07:40:54,369
2024-01-08 07:41:00,363
2024-01-08 07:41:05,360
2024-01-08 07:41:10,367
2024-01-08 07:41:15,366
2024-01-08 07:41:20,360
2024-01-08 07:41:31,365
2024-01-08 07:41:37,364
2024-01-08 07:41:47,369
2024-01-08 07:41:52,368
2024-01-08 07:41:58,364
2024-01-08 07:42:08,369
2024-01-08 07:42:14,370
2024-01-08 07:42:19,368
2024-01-08 07:42:24,365
2024-01-08 07:42:29,368
2024-01-08 07:42:34,370
2024-01-08 07:42:45,367
2024-01-08 07:42:51,370
2024-01-08 07:42:56,373
2024-01-08 07:43:01,358
2024-01-08 07:43:06,368
2024-01-08 07:43:12,366
2024-01-08 07:43:22,369
2024-01-08 07:43:28,368
2024-01-08 07:43:33,366
2024-01-08 07:43:38,368
2024-01-08 07:43:43,365
2024-01-08 07:43:48,368
2024-01-08 07:43:59,367
2024-01-08 07:44:05,371
2024-01-08 07:44:10,366
2024-01-08 07:44:15,365
2024-01-08 07:44:26,365
2024-01-08 07:44:36,366
2024-01-08 07:44:42,366
2024-01-08 07:44:47,370
2024-01-08 07:44:52,364
2024-01-08 07:44:57,367
2024-01-08 07:45:02,364
2024-01-08 07:45:13,1
2024-01-08 07:45:19,11
