"time","power"
2024-01-11 07:05:14,9
2024-01-11 07:05:30,8
2024-01-11 07:05:41,9
2024-01-11 07:05:46,8
2024-01-11 07:05:51,10
2024-01-11 07:05:56,9
2024-01-11 07:06:18,8
2024-01-11 07:06:33,9
2024-01-11 07:06:44,8
2024-01-11 07:07:00,9
2024-01-11 07:07:16,8
2024-01-11 07:07:21,9
2024-01-11 07:07:37,10
2024-01-11 07:07:58,9
2024-01-11 07:08:30,8
2024-01-11 07:08:35,10
2024-01-11 07:08:51,9
2024-01-11 07:08:56,10
2024-01-11 07:09:01,9
2024-01-11 07:09:07,10
2024-01-11 07:09:12,9
2024-01-11 07:09:23,10
2024-01-11 07:09:38,9
2024-01-11 07:09:44,8
2024-01-11 07:09:49,9
2024-01-11 07:10:05,8
2024-01-11 07:10:10,10
2024-01-11 07:10:15,9
2024-01-11 07:10:21,10
2024-01-11 07:10:26,9
2024-01-11 07:10:37,10
2024-01-11 07:10:42,9
2024-01-11 07:10:47,8
2024-01-11 07:10:52,9
2024-01-11 07:10:58,10
2024-01-11 07:11:14,9
2024-01-11 07:11:24,8
2024-01-11 07:11:29,9
2024-01-11 07:11:35,8
2024-01-11 07:11:40,9
2024-01-11 07:11:56,10
2024-01-11 07:12:07,9
2024-01-11 07:12:17,8
2024-01-11 07:12:33,10
2024-01-11 07:12:38,9
2024-01-11 07:12:43,10
2024-01-11 07:13:15,9
2024-01-11 07:13:21,10
2024-01-11 07:13:26,8
2024-01-11 07:13:31,9
2024-01-11 07:13:42,8
2024-01-11 07:13:47,10
2024-01-11 07:13:52,9
2024-01-11 07:13:57,10
2024-01-11 07:14:03,8
2024-01-11 07:14:08,9
2024-01-11 07:14:19,10
2024-01-11 07:14:40,9
2024-01-11 07:14:45,10
2024-01-11 07:14:56,8
2024-01-11 07:15:01,9
2024-01-11 07:15:06,8
2024-01-11 07:15:11,10
2024-01-11 07:15:38,9
2024-01-11 07:15:43,10
2024-01-11 07:15:54,9
2024-01-11 07:15:59,33
2024-01-11 07:16:10,32
2024-01-11 07:16:15,32
2024-01-11 07:16:20,32
2024-01-11 07:16:36,33
2024-01-11 07:16:47,32
2024-01-11 07:16:52,34
2024-01-11 07:16:57,33
2024-01-11 07:17:03,32
2024-01-11 07:17:13,31
2024-01-11 07:17:24,33
2024-01-11 07:17:29,32
2024-01-11 07:17:34,31
2024-01-11 07:17:39,32
2024-01-11 07:17:50,31
2024-01-11 07:18:06,32
2024-01-11 07:18:11,33
2024-01-11 07:18:17,32
2024-01-11 07:18:38,33
2024-01-11 07:18:59,32
2024-01-11 07:19:15,33
2024-01-11 07:19:20,32
2024-01-11 07:19:41,33
2024-01-11 07:19:52,31
2024-01-11 07:19:57,32
2024-01-11 07:20:07,33
2024-01-11 07:20:13,94
2024-01-11 07:20:18,80
2024-01-11 07:20:50,78
2024-01-11 07:20:55,80
2024-01-11 07:21:06,78
2024-01-11 07:21:11,80
2024-01-11 07:21:16,79
2024-01-11 07:21:21,78
2024-01-11 07:21:27,80
2024-01-11 07:21:53,78
2024-01-11 07:21:59,80
